AnimalID,Collar,Pen,Placement,Removal,"Lambing Time","Lambing Time(2nd)","Lambing Time(3rd)",Lambing Type,First lambing,Camera,Elapsed time,Filme(s) filename,Treat Data @WISEWARE,Assistance,Comments,Problems,,
20098,E529A33F92FC,10,23/4/24 2:00 PM,2/5/24 9:40 PM,02/05/2024 00:52:20,02/05/2024 01:02:20,,Double,,CH5,0:10,Pen10_Chan05_Lambing240502_005220_010220,YES,None,Both natural,none,POS_10_E529A33F92FC_2024-05-02T00.52.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_10_E529A33F92FC_2024-05-02T00.52.00+02.00_2__annotated_class_all.csv '02/05/2024 00:52:20'  '02/05/2024 01:02:20' ;
20300,E529A33F92FC,10,2/5/24 10:01 PM,10/5/24 7:28 PM,09/05/2024 16:05:00,,,Single,,CH5,###############################################################################################################################################################################################################################################################,,YES,None,Natural,none,POS_10_E529A33F92FC_2024-05-09T16.05.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_10_E529A33F92FC_2024-05-09T16.05.00+02.00_1__annotated_class_all.csv '09/05/2024 16:05:00'  '09/05/2024 16:05:00' ;
30341,E529A33F92FC,10,10/5/24 9:00 PM,21/5/24 9:43 AM,18/05/2024 15:02:20,,,Single,,CH5,###############################################################################################################################################################################################################################################################,,YES @24-05-2024,,Help from 14:55,,POS_10_E529A33F92FC_2024-05-18T15.02.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_10_E529A33F92FC_2024-05-18T15.02.00+02.00_1__annotated_class_all.csv '18/05/2024 15:02:20'  '18/05/2024 15:02:20' ;
0402,CDC59811208C,11,23/4/24 2:00 PM,2/5/24 9:40 PM,30/04/2024 06:31:11,30/04/2024 06:32:49,,Double,,CH6,0:01,Pen11_Chan06_Lambing240430_063111_063249,YES,Both,"Both assisted, probably better to exclude from model because sheep was to quiet",atypical,POS_11_CDC59811208C_2024-04-30T06.31.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_11_CDC59811208C_2024-04-30T06.31.00+02.00_2__annotated_class_all.csv '30/04/2024 06:31:11'  '30/04/2024 06:32:49' ;
20361,CDC59811208C,11,2/5/24 10:01 PM,8/5/24 2:31 PM,04/05/2024 23:35:00,04/05/2024 23:42:00,,Double,,CH6,0:07,Pen11_Chan06_Lambing240504_233500_234200,YES,Both,Both assisted.,none,POS_11_CDC59811208C_2024-05-04T23.35.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_11_CDC59811208C_2024-05-04T23.35.00+02.00_2__annotated_class_all.csv '04/05/2024 23:35:00'  '04/05/2024 23:42:00' ;
20193,CDC59811208C,11,8/5/24 3:10 PM,16/5/24 2:47 PM,09/05/2024 11:08:50,09/05/2024 11:57:52,,Double,,CH6,0:49,,YES,Both,Both assisted. Intervention from 11:06:40,,POS_11_CDC59811208C_2024-05-09T11.08.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_11_CDC59811208C_2024-05-09T11.08.00+02.00_2__annotated_class_all.csv '09/05/2024 11:08:50'  '09/05/2024 11:57:52' ;
0022A,CAE57B810884,12,23/4/24 2:00 PM,16/5/24 2:47 PM,08/05/2024 02:09:30,08/05/2024 02:14:15,,Double,,CH6,0:04,,YES,None,,none,POS_12_CAE57B810884_2024-05-08T02.07.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_12_CAE57B810884_2024-05-08T02.07.00+02.00_2__annotated_class_all.csv '08/05/2024 02:09:30'  '08/05/2024 02:14:15' ;
0290,C2A6EB3E97CE,13,23/4/24 2:00 PM,8/5/24 2:31 PM,06/05/2024 16:06:00,06/05/2024 16:41:30,,Double,,CH7,0:35,,YES,None,Both Natural,none,POS_13_C2A6EB3E97CE_2024-05-06T16.06.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_13_C2A6EB3E97CE_2024-05-06T16.06.00+02.00_2__annotated_class_all.csv '06/05/2024 16:06:00'  '06/05/2024 16:41:30' ;
20191,C2A6EB3E97CE,13,8/5/24 3:10 PM,21/5/24 8:16 PM,,,,,,CH7,,,*,,,,,
0308,EEFE1C0DE6F2,14,23/4/24 2:00 PM,26/4/24 7:20 PM,25/04/2024 13:30:53,25/04/2024 15:27:40,,Double,,CH7,1:56,Pen14_Chan07_Lambing240425_133053_152740,YES,None,Both natural,none,POS_14_EEFE1C0DE6F2_2024-04-25T13.30.00+02.00_2__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_14_EEFE1C0DE6F2_2024-04-25T13.30.00+02.00_2__annotated_class_all.csv '25/04/2024 13:30:53'  '25/04/2024 15:27:40' ;
10119,EEFE1C0DE6F2,14,26/4/24 8:35 PM,10/5/24 7:28 PM,09/05/2024 09:13:00,,,Single,,CH7,###############################################################################################################################################################################################################################################################,,YES,First,"Farm managers notes ""only one lamb is expected""; SN ""collar was placed wrong, I corrected making sure the arrow is pointing downwards, 5/02/2024  1:20:00 PM"", better disconsider after 9:10:35, because had help and lady had to come there to allow lamb feeding",InvCollar,POS_14_EEFE1C0DE6F2_2024-05-09T09.15.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_14_EEFE1C0DE6F2_2024-05-09T09.15.00+02.00_1__annotated_class_all.csv '09/05/2024 09:13:00'  '09/05/2024 09:13:00' ;
20315,EEFE1C0DE6F2,14,10/5/24 9:00 PM,16/5/24 2:52 PM,12/05/2024 14:10:00,,,Single,,CH7,,,YES @13-05-2024,,"Natural, relevant to learning model",none,POS_14_EEFE1C0DE6F2_2024-05-12T14.10.00+02.00_1__annotated_class_all.csv,python3 filterAllClass.py ./lambData/POS_14_EEFE1C0DE6F2_2024-05-12T14.10.00+02.00_1__annotated_class_all.csv '12/05/2024 14:10:00'  '12/05/2024 14:10:00' ;
